symbol	company_name	LastSale	MarketCap	IPOyear	Sector	industry	quote
BKD	Brookdale Senior Living Inc.	17.6	$3.27B	2005	Health Care	Hospital/Nursing Management	http://www.nasdaq.com/symbol/bkd
BAM	Brookfield Asset Management Inc	34.33	$33.89B	n/a	Consumer Services	Building operators	http://www.nasdaq.com/symbol/bam
BBU	Brookfield Business Partners L.P.	23.14	$1.01B	2016	Basic Industries	Engineering & Construction	http://www.nasdaq.com/symbol/bbu
BOXC	Brookfield Canada Office Properties	21.7979	$574.83M	n/a	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/boxc
DTLA^	Brookfield DTLA Inc.	20.22	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/dtla^
INF	Brookfield Global Listed Infrastructure Income Fund	13.6	$187.67M	n/a	n/a	n/a	http://www.nasdaq.com/symbol/inf
HHY	Brookfield High Income Fund Inc.	7.51	$191.75M	n/a	n/a	n/a	http://www.nasdaq.com/symbol/hhy
BIP	Brookfield Infrastructure Partners LP	48.7	$7.9B	n/a	Consumer Services	Marine Transportation	http://www.nasdaq.com/symbol/bip
BOI	Brookfield Mortgage Opportunity Income Fund Inc.	15.32	$347.98M	2013	n/a	n/a	http://www.nasdaq.com/symbol/boi
BPY	Brookfield Property Partners L.P.	23.23	$6.09B	n/a	Finance	Real Estate	http://www.nasdaq.com/symbol/bpy
BEP	Brookfield Renewable Partners L.P.	30.79	$5.13B	n/a	Public Utilities	Electric Utilities: Central	http://www.nasdaq.com/symbol/bep
HTR	Brookfield Total Return Fund Inc.	22.88	$319.44M	1989	n/a	n/a	http://www.nasdaq.com/symbol/htr
BRO	Brown & Brown, Inc.	38	$5.31B	n/a	Finance	Specialty Insurers	http://www.nasdaq.com/symbol/bro
BRT	BRT Realty Trust	7.78	$108.19M	n/a	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/brt
BC	Brunswick Corporation	46.64	$4.21B	n/a	Energy	Industrial Machinery/Components	http://www.nasdaq.com/symbol/bc
BT	BT Group plc	26.4	$52.6B	n/a	Public Utilities	Telecommunications Equipment	http://www.nasdaq.com/symbol/bt
BPL	Buckeye Partners L.P.	70.43	$9.23B	1986	Energy	Natural Gas Distribution	http://www.nasdaq.com/symbol/bpl
BKE	Buckle, Inc. (The)	24.72	$1.2B	n/a	Consumer Services	Clothing/Shoe/Accessory Stores	http://www.nasdaq.com/symbol/bke
BVN	Buenaventura Mining Company Inc.	13.9	$3.53B	1996	Basic Industries	Precious Metals	http://www.nasdaq.com/symbol/bvn
BBW	Build-A-Bear Workshop, Inc.	11.59	$183.76M	2004	Consumer Services	Recreational Products/Toys	http://www.nasdaq.com/symbol/bbw
BG	Bunge Limited	63.56	$8.86B	2001	Consumer Non-Durables	Packaged Foods	http://www.nasdaq.com/symbol/bg
BURL	Burlington Stores, Inc.	83.99	$5.99B	2013	Consumer Services	Department/Specialty Retail Stores	http://www.nasdaq.com/symbol/burl
BWXT	BWX Technologies, Inc.	39.3	$4.06B	n/a	Energy	Industrial Machinery/Components	http://www.nasdaq.com/symbol/bwxt
BCR	C.R. Bard, Inc.	221.21	$16.25B	n/a	Health Care	Medical/Dental Instruments	http://www.nasdaq.com/symbol/bcr
GYB	CABCO Series 2004-101 Trust	23.14	n/a	n/a	Finance	Finance: Consumer Services	http://www.nasdaq.com/symbol/gyb
PFH	CABCO Series 2004-101 Trust	19.53	n/a	n/a	Finance	Finance: Consumer Services	http://www.nasdaq.com/symbol/pfh
CAB	Cabela&#39;s Inc	49.12	$3.36B	2004	Consumer Services	Other Specialty Stores	http://www.nasdaq.com/symbol/cab
CABO	Cable One, Inc.	558.71	$3.2B	2015	Consumer Services	Television Services	http://www.nasdaq.com/symbol/cabo
CBT	Cabot Corporation	50.81	$3.17B	n/a	Basic Industries	Major Chemicals	http://www.nasdaq.com/symbol/cbt
COG	Cabot Oil & Gas Corporation	24.41	$11.35B	1990	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/cog
CACI	CACI International, Inc.	100.07	$2.43B	n/a	Technology	EDP Services	http://www.nasdaq.com/symbol/caci
CAE	CAE Inc	14.44	$3.88B	n/a	Miscellaneous	Industrial Machinery/Components	http://www.nasdaq.com/symbol/cae
CAI	CAI International, Inc.	8.27	$159.26M	n/a	Technology	Diversified Commercial Services	http://www.nasdaq.com/symbol/cai
CAA	CalAtlantic Group, Inc.	36.38	$4.31B	n/a	Capital Goods	Homebuilding	http://www.nasdaq.com/symbol/caa
CAL	Caleres, Inc.	24.75	$1.07B	n/a	Consumer Non-Durables	Shoe Manufacturing	http://www.nasdaq.com/symbol/cal
CCC	Calgon Carbon Corporation	14.71	$744.68M	n/a	Basic Industries	Major Chemicals	http://www.nasdaq.com/symbol/ccc
CRC	California Resources Corporation	10.42	$428.26M	2014	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/crc
CWT	California Water  Service Group Holding	31.04	$1.49B	n/a	Public Utilities	Water Supply	http://www.nasdaq.com/symbol/cwt
CALX	Calix, Inc	7.53	$367.33M	2010	Consumer Services	Telecommunications Equipment	http://www.nasdaq.com/symbol/calx
ELY	Callaway Golf Company	11.6	$1.09B	1992	Consumer Non-Durables	Recreational Products/Toys	http://www.nasdaq.com/symbol/ely
CPE	Callon Petroleum Company	14.96	$1.96B	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/cpe
CPE^A	Callon Petroleum Company	52.58	n/a	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/cpe^a
CPN	Calpine Corporation	12.48	$4.48B	n/a	Public Utilities	Electric Utilities: Central	http://www.nasdaq.com/symbol/cpn
CBM	Cambrex Corporation	43.27	$1.39B	1987	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/cbm
CPT	Camden Property Trust	89.59	$7.83B	1993	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/cpt
CCJ	Cameco Corporation	9.3	$3.68B	1996	Basic Industries	Precious Metals	http://www.nasdaq.com/symbol/ccj
CPB	Campbell Soup Company	57.73	$17.82B	n/a	Consumer Non-Durables	Packaged Foods	http://www.nasdaq.com/symbol/cpb
CM	Canadian Imperial Bank of Commerce	80.26	$31.7B	n/a	Finance	Commercial Banks	http://www.nasdaq.com/symbol/cm
CNI	Canadian National Railway Company	65.46	$50.57B	n/a	Transportation	Railroads	http://www.nasdaq.com/symbol/cni
CNQ	Canadian Natural Resources Limited	31.85	$35.08B	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/cnq
CP	Canadian Pacific Railway Limited	154.59	$22.83B	n/a	Transportation	Railroads	http://www.nasdaq.com/symbol/cp
CAJ	Canon, Inc.	28.89	$31.55B	n/a	Miscellaneous	Industrial Machinery/Components	http://www.nasdaq.com/symbol/caj
CMN	Cantel Medical Corp.	77.16	$3.22B	n/a	Health Care	Medical/Dental Instruments	http://www.nasdaq.com/symbol/cmn
COF	Capital One Financial Corporation	71.64	$36.26B	1994	Finance	Major Banks	http://www.nasdaq.com/symbol/cof
COF.WS	Capital One Financial Corporation	n/a	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/cof.ws
COF^C	Capital One Financial Corporation	27.2	n/a	n/a	Finance	Major Banks	http://www.nasdaq.com/symbol/cof^c
COF^D	Capital One Financial Corporation	28.45	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/cof^d
COF^F	Capital One Financial Corporation	27.2701	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/cof^f
COF^G	Capital One Financial Corporation	25.62	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/cof^g
COF^P	Capital One Financial Corporation	25.974	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/cof^p
CSU	Capital Senior Living Corporation	17.5	$524.97M	1997	Health Care	Hospital/Nursing Management	http://www.nasdaq.com/symbol/csu
BXMT	Capital Trust, Inc.	30.02	$2.82B	n/a	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/bxmt
CLA	Capitala Finance Corp.	25.5492	n/a	2014	n/a	n/a	http://www.nasdaq.com/symbol/cla
CMO	Capstead Mortgage Corporation	10.05	$964.69M	n/a	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/cmo
CMO^E	Capstead Mortgage Corporation	25.4	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/cmo^e
CRR	Carbo Ceramics, Inc.	12.31	$289.26M	n/a	Capital Goods	Industrial Machinery/Components	http://www.nasdaq.com/symbol/crr
CAH	Cardinal Health, Inc.	79.73	$25.4B	n/a	Health Care	Other Pharmaceuticals	http://www.nasdaq.com/symbol/cah
CCP	Care Capital Properties, Inc.	30.3	$2.54B	2015	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/ccp
CRCM	Care.com, Inc.	10.55	$301.74M	2014	Consumer Services	Other Consumer Services	http://www.nasdaq.com/symbol/crcm
CSL	Carlisle Companies Incorporated	104.94	$6.78B	n/a	Basic Industries	Specialty Chemicals	http://www.nasdaq.com/symbol/csl
KMX	CarMax Inc	60.06	$11.5B	n/a	Consumer Durables	Automotive Aftermarket	http://www.nasdaq.com/symbol/kmx
CCL	Carnival Corporation	46.39	$35.6B	1987	Consumer Services	Marine Transportation	http://www.nasdaq.com/symbol/ccl
CUK	Carnival Corporation	46.91	$36B	n/a	Consumer Services	Marine Transportation	http://www.nasdaq.com/symbol/cuk
CRS	Carpenter Technology Corporation	36.68	$1.71B	n/a	Basic Industries	Steel/Iron Ore	http://www.nasdaq.com/symbol/crs
CSV	Carriage Services, Inc.	23.84	$396.77M	n/a	Consumer Services	Other Consumer Services	http://www.nasdaq.com/symbol/csv
CRI	Carter&#39;s, Inc.	95.12	$4.76B	2003	Consumer Non-Durables	Apparel	http://www.nasdaq.com/symbol/cri
CAS	Castle (A.M.) & Co.	1.39	$45.37M	n/a	Basic Industries	Metal Fabrications	http://www.nasdaq.com/symbol/cas
CSLT	Castlight Health, inc.	4.21	$432.36M	2014	Technology	EDP Services	http://www.nasdaq.com/symbol/cslt
CTLT	Catalent, Inc.	25.24	$3.15B	2014	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/ctlt
CTT	CatchMark Timber Trust, Inc.	11.71	$454.71M	2013	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/ctt
CAT	Caterpillar, Inc.	81.69	$47.73B	n/a	Capital Goods	Construction/Ag Equipment/Trucks	http://www.nasdaq.com/symbol/cat
CATO	Cato Corporation (The)	33.49	$930.57M	n/a	Consumer Services	Clothing/Shoe/Accessory Stores	http://www.nasdaq.com/symbol/cato
CBZ	CBIZ, Inc.	11.23	$600.18M	n/a	Miscellaneous	Business Services	http://www.nasdaq.com/symbol/cbz
CBL	CBL & Associates Properties, Inc.	13.65	$2.33B	1993	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/cbl
CBL^D	CBL & Associates Properties, Inc.	25.5002	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/cbl^d
CBL^E	CBL & Associates Properties, Inc.	26.16	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/cbl^e
CBO	CBO (Listing Market - NYSE - Networks A/E)	19.5	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/cbo
IGR	CBRE Clarion Global Real Estate Income Fund	8.59	$1B	2004	n/a	n/a	http://www.nasdaq.com/symbol/igr
CBG	CBRE Group, Inc.	30.17	$10.13B	2004	Finance	Real Estate	http://www.nasdaq.com/symbol/cbg
CBS	CBS Corporation	52.22	$23.22B	n/a	Consumer Services	Broadcasting	http://www.nasdaq.com/symbol/cbs
CBS.A	CBS Corporation	n/a	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/cbs.a
CBX	CBX (Listing Market NYSE Networks AE	0.94	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/cbx
CDI	CDI Corporation	5.75	$106.94M	n/a	Technology	Professional Services	http://www.nasdaq.com/symbol/cdi
CEB	CEB Inc.	58.98	$1.9B	n/a	Consumer Services	Professional Services	http://www.nasdaq.com/symbol/ceb
FUN	Cedar Fair, L.P.	58.15	$3.26B	1987	Consumer Services	Services-Misc. Amusement & Recreation	http://www.nasdaq.com/symbol/fun
CDR	Cedar Realty Trust, Inc.	7.64	$652M	n/a	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/cdr
CDR^B	Cedar Realty Trust, Inc.	26.0499	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/cdr^b
CGI	Celadon Group, Inc.	7.75	$218.7M	n/a	Transportation	Trucking Freight/Courier Services	http://www.nasdaq.com/symbol/cgi
CE	Celanese Corporation	64.59	$9.35B	2005	Basic Industries	Major Chemicals	http://www.nasdaq.com/symbol/ce
CLS	Celestica, Inc.	10.92	$1.36B	1998	Technology	Electrical Products	http://www.nasdaq.com/symbol/cls
CEL	Cellcom Israel, Ltd.	7.36	$740.45M	2007	Public Utilities	Telecommunications Equipment	http://www.nasdaq.com/symbol/cel
CPAC	Cementos Pacasmayo S.A.A.	9.56	$1.04B	2012	Capital Goods	Building Materials	http://www.nasdaq.com/symbol/cpac
CX	Cemex S.A.B. de C.V.	8.48	$11.88B	n/a	Capital Goods	Building Materials	http://www.nasdaq.com/symbol/cx
CNCO	Cencosud S.A.	8.81	$8.35B	n/a	Consumer Services	Department/Specialty Retail Stores	http://www.nasdaq.com/symbol/cnco
CVE	Cenovus Energy Inc	14.85	$12.37B	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/cve
CNC	Centene Corporation	68.62	$11.72B	n/a	Health Care	Medical Specialities	http://www.nasdaq.com/symbol/cnc
CEN	Center Coast MLP & Infrastructure Fund	11.5	$227.56M	2013	n/a	n/a	http://www.nasdaq.com/symbol/cen
CNP	CenterPoint Energy, Inc.	22.63	$9.75B	n/a	Public Utilities	Electric Utilities: Central	http://www.nasdaq.com/symbol/cnp
CEE	Central Europe, Russia and Turkey Fund, Inc. (The)	18.9564	$153.13M	n/a	n/a	n/a	http://www.nasdaq.com/symbol/cee
CCS	Century Communities, Inc.	20.27	$426.76M	2014	Capital Goods	Homebuilding	http://www.nasdaq.com/symbol/ccs
CTL	CenturyLink, Inc.	27.94	$15.25B	n/a	Public Utilities	Telecommunications Equipment	http://www.nasdaq.com/symbol/ctl
CVO	Cenveo Inc	7.44	$63.63M	n/a	Consumer Durables	Containers/Packaging	http://www.nasdaq.com/symbol/cvo
CF	CF Industries Holdings, Inc.	25.94	$6.05B	2005	Basic Industries	Agricultural Chemicals	http://www.nasdaq.com/symbol/cf
CGG	CGG	24.549	$135.84M	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/cgg
GIB	CGI Group, Inc.	50.02	$13.56B	n/a	Consumer Services	Professional Services	http://www.nasdaq.com/symbol/gib
ECOM          	ChannelAdvisor Corporation	12.56	$322.75M	2013	Technology	Computer Software: Prepackaged Software	http://www.nasdaq.com/symbol/ecom
CRL	Charles River Laboratories International, Inc.	84.42	$3.99B	2000	Health Care	Biotechnology: Commercial Physical & Biological Resarch	http://www.nasdaq.com/symbol/crl
CLDT	Chatham Lodging Trust (REIT)	20.29	$778.21M	2010	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/cldt
CMCM	Cheetah Mobile Inc.	12.91	$1.84B	2014	Technology	Computer Software: Prepackaged Software	http://www.nasdaq.com/symbol/cmcm
CHGG	Chegg, Inc.	6.83	$621.72M	2013	Consumer Services	Other Consumer Services	http://www.nasdaq.com/symbol/chgg
CHE	Chemed Corp.	137.34	$2.22B	n/a	Health Care	Medical/Nursing Services	http://www.nasdaq.com/symbol/che
CC	Chemours Company (The)	13.63	$2.47B	2015	Basic Industries	Major Chemicals	http://www.nasdaq.com/symbol/cc
CHMT	Chemtura Corp.	30.27	$1.91B	n/a	Basic Industries	Major Chemicals	http://www.nasdaq.com/symbol/chmt
CHMI	Cherry Hill Mortgage Investment Corporation	16.61	$125.05M	2013	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/chmi
CHK	Chesapeake Energy Corporation	6.6	$5.13B	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/chk
CHK^D	Chesapeake Energy Corporation	42.715	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/chk^d
CHKR	Chesapeake Granite Wash Trust	2.1801	$101.92M	2011	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/chkr
CHSP	Chesapeake Lodging Trust	25.23	$1.52B	2010	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/chsp
CHSP^A	Chesapeake Lodging Trust	26.25	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/chsp^a
CPK	Chesapeake Utilities Corporation	63.77	$977.15M	n/a	Public Utilities	Oil & Gas Production	http://www.nasdaq.com/symbol/cpk
CVX	Chevron Corporation	100.93	$190.41B	n/a	Energy	Integrated oil Companies	http://www.nasdaq.com/symbol/cvx
CBI	Chicago Bridge & Iron Company N.V.	29.73	$3.07B	1997	Basic Industries	Engineering & Construction	http://www.nasdaq.com/symbol/cbi
CHS	Chico&#39;s FAS, Inc.	12.63	$1.67B	n/a	Consumer Services	Clothing/Shoe/Accessory Stores	http://www.nasdaq.com/symbol/chs
CIM	Chimera Investment Corporation	16.76	$3.15B	2007	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/cim
CO	China Cord Blood Corporation	5.29	$386.19M	n/a	Finance	Business Services	http://www.nasdaq.com/symbol/co
STV	China Digital TV Holding Co., Ltd.	1.26	$75.82M	2007	Technology	Computer Software: Prepackaged Software	http://www.nasdaq.com/symbol/stv
DL	China Distance Education Holdings Limited	10.89	$362.88M	n/a	Consumer Services	Other Consumer Services	http://www.nasdaq.com/symbol/dl
CEA	China Eastern Airlines Corporation Ltd.	25.54	$6.71B	1997	Transportation	Air Freight/Delivery Services	http://www.nasdaq.com/symbol/cea
CHN	China Fund, Inc. (The)	16.35	$257.07M	n/a	n/a	n/a	http://www.nasdaq.com/symbol/chn
CGA	China Green Agriculture, Inc.	1.42	$52.51M	n/a	Basic Industries	Agricultural Chemicals	http://www.nasdaq.com/symbol/cga
LFC	China Life Insurance Company Limited	12.35	$69.81B	2003	Finance	Life Insurance	http://www.nasdaq.com/symbol/lfc
CHL	China Mobile (Hong Kong) Ltd.	61.9	$253.49B	n/a	Public Utilities	Telecommunications Equipment	http://www.nasdaq.com/symbol/chl
BORN	China New Borun Corporation	1.57	$40.39M	2010	Consumer Non-Durables	Beverages (Production/Distribution)	http://www.nasdaq.com/symbol/born
COE	China Online Education Group	20.52	$410.93M	2016	Consumer Services	Other Consumer Services	http://www.nasdaq.com/symbol/coe
SNP	China Petroleum & Chemical Corporation	73.37	$88.83B	n/a	Energy	Integrated oil Companies	http://www.nasdaq.com/symbol/snp
ZNH	China Southern Airlines Company Limited	29.74	$5.84B	1997	Transportation	Air Freight/Delivery Services	http://www.nasdaq.com/symbol/znh
CHA	China Telecom Corp Ltd	53.02	$42.91B	2002	Public Utilities	Telecommunications Equipment	http://www.nasdaq.com/symbol/cha
CHU	China Unicom (Hong Kong) Ltd	11.67	$27.95B	n/a	Public Utilities	Telecommunications Equipment	http://www.nasdaq.com/symbol/chu
XNY	China Xiniya Fashion Limited	1.32	$18.79M	2010	Consumer Non-Durables	Apparel	http://www.nasdaq.com/symbol/xny
CYD	China Yuchai International Limited	10.99	$431.89M	1994	Energy	Industrial Machinery/Components	http://www.nasdaq.com/symbol/cyd
ZX	China Zenix Auto International Limited	1.149	$59.32M	2011	Capital Goods	Auto Parts:O.E.M.	http://www.nasdaq.com/symbol/zx
CMG	Chipotle Mexican Grill, Inc.	408.41	$11.89B	2006	Consumer Services	Restaurants	http://www.nasdaq.com/symbol/cmg
CHH	Choice Hotels International, Inc.	48.09	$2.7B	n/a	Consumer Services	Hotels/Resorts	http://www.nasdaq.com/symbol/chh
CBK	Christopher & Banks Corporation	1.45	$53.77M	n/a	Consumer Services	Clothing/Shoe/Accessory Stores	http://www.nasdaq.com/symbol/cbk
CHT	Chunghwa Telecom Co., Ltd.	36.15	$28.04B	n/a	Public Utilities	Telecommunications Equipment	http://www.nasdaq.com/symbol/cht
CHD	Church & Dwight Company, Inc.	49.97	$12.87B	n/a	Basic Industries	Package Goods/Cosmetics	http://www.nasdaq.com/symbol/chd
CBR	Ciber, Inc.	1.28	$103.96M	n/a	Technology	EDP Services	http://www.nasdaq.com/symbol/cbr
CIEN	Ciena Corporation	22.89	$3.16B	1997	Public Utilities	Telecommunications Equipment	http://www.nasdaq.com/symbol/cien
CI	Cigna Corporation	128.18	$32.89B	n/a	Health Care	Medical Specialities	http://www.nasdaq.com/symbol/ci
XEC	Cimarex Energy Co	134.92	$12.82B	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/xec
CBB	Cincinnati Bell Inc	4.27	$897.44M	n/a	Public Utilities	Telecommunications Equipment	http://www.nasdaq.com/symbol/cbb
CBB^B	Cincinnati Bell Inc	50	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/cbb^b
CNK	Cinemark Holdings Inc	39	$4.53B	2007	Consumer Services	Movies/Entertainment	http://www.nasdaq.com/symbol/cnk
CINR	Ciner Resources LP	29.71	$583.9M	2013	Basic Industries	Mining & Quarrying of Nonmetallic Minerals (No Fuels)	http://www.nasdaq.com/symbol/cinr
CIR	CIRCOR International, Inc.	60.06	$986.39M	n/a	Capital Goods	Metal Fabrications	http://www.nasdaq.com/symbol/cir
CIT	CIT Group Inc (DEL)	36.38	$7.35B	n/a	Finance	Finance: Consumer Services	http://www.nasdaq.com/symbol/cit
BLW	Citigroup Inc.	15.72	$581.7M	2003	Finance	Major Banks	http://www.nasdaq.com/symbol/blw
C	Citigroup Inc.	47.51	$138.03B	n/a	Finance	Major Banks	http://www.nasdaq.com/symbol/c
C.WS.A	Citigroup Inc.	n/a	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/c.ws.a
C^C	Citigroup Inc.	26.39	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/c^c
C^J	Citigroup Inc.	30.3	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/c^j
C^K	Citigroup Inc.	29.69	n/a	n/a	Finance	Major Banks	http://www.nasdaq.com/symbol/c^k
C^L	Citigroup Inc.	27.8199	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/c^l
C^N	Citigroup Inc.	25.92	n/a	n/a	Finance	Major Banks	http://www.nasdaq.com/symbol/c^n
C^P	Citigroup Inc.	27.72	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/c^p
C^S	Citigroup Inc.	27.14	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/c^s
CFG	Citizens Financial Group, Inc.	24.68	$12.82B	2014	Finance	Major Banks	http://www.nasdaq.com/symbol/cfg
CIA	Citizens, Inc.	9.93	$497.31M	n/a	Finance	Life Insurance	http://www.nasdaq.com/symbol/cia
CIO	City Office REIT, Inc.	13	$316.62M	2014	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/cio
CVEO	Civeo Corporation	1.14	$123.22M	2014	Consumer Services	Hotels/Resorts	http://www.nasdaq.com/symbol/cveo
CIVI	Civitas Solutions, Inc.	18.34	$680.99M	2014	Health Care	Medical/Nursing Services	http://www.nasdaq.com/symbol/civi
CLC	CLARCOR Inc.	66.45	$3.24B	n/a	Capital Goods	Auto Parts:O.E.M.	http://www.nasdaq.com/symbol/clc
CWEI	Clayton Williams Energy, Inc.	66.89	$814.02M	1993	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/cwei
CLH	Clean Harbors, Inc.	47.64	$2.74B	n/a	Basic Industries	Environmental Services	http://www.nasdaq.com/symbol/clh
CCO	Clear Channel Outdoor Holdings, Inc.	6.9	$2.5B	2005	Consumer Services	Advertising	http://www.nasdaq.com/symbol/cco
CBA           	ClearBridge American Energy MLP Fund Inc.	8.7	$509.76M	2013	n/a	n/a	http://www.nasdaq.com/symbol/cba
CEM	ClearBridge Energy MLP Fund Inc.	16.56	$1.16B	2010	n/a	n/a	http://www.nasdaq.com/symbol/cem
EMO	ClearBridge Energy MLP Opportunity Fund Inc.	13.22	$412.41M	2011	n/a	n/a	http://www.nasdaq.com/symbol/emo
CTR	ClearBridge Energy MLP Total Return Fund Inc.	13.12	$503.81M	2012	n/a	n/a	http://www.nasdaq.com/symbol/ctr
CLW	Clearwater Paper Corporation	63.24	$1.07B	n/a	Basic Industries	Paper	http://www.nasdaq.com/symbol/clw
CLF	Cliffs Natural Resources Inc.	5.73	$1.05B	n/a	Basic Industries	Precious Metals	http://www.nasdaq.com/symbol/clf
CLX	Clorox Company (The)	131.97	$17.09B	n/a	Consumer Durables	Specialty Chemicals	http://www.nasdaq.com/symbol/clx
CLD	Cloud Peak Energy Inc	4.03	$247.12M	2009	Energy	Coal Mining	http://www.nasdaq.com/symbol/cld
MYCC	ClubCorp Holdings, Inc.	14.97	$981.44M	2013	Consumer Services	Hotels/Resorts	http://www.nasdaq.com/symbol/mycc
CMS	CMS Energy Corporation	42.31	$11.84B	n/a	Public Utilities	Power Generation	http://www.nasdaq.com/symbol/cms
CMS^B	CMS Energy Corporation	105.25	n/a	n/a	Public Utilities	Power Generation	http://www.nasdaq.com/symbol/cms^b
CNA	CNA Financial Corporation	33.69	$9.11B	n/a	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/cna
CNHI	CNH Industrial N.V.	7.45	$10.14B	2013	Capital Goods	Construction/Ag Equipment/Trucks	http://www.nasdaq.com/symbol/cnhi
CNO	CNO Financial Group, Inc.	16.15	$2.83B	n/a	Finance	Accident &Health Insurance	http://www.nasdaq.com/symbol/cno
CEO	CNOOC Limited	123.29	$1.29B	2001	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/ceo
CNXC	CNX Coal Resources LP	13.16	$305.6M	2015	Energy	Coal Mining	http://www.nasdaq.com/symbol/cnxc
COH	Coach, Inc.	38.15	$10.64B	n/a	Consumer Non-Durables	Apparel	http://www.nasdaq.com/symbol/coh
CIE	Cobalt International Energy, Inc.	1.26	$521.83M	2009	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/cie
KOF	Coca Cola Femsa S.A.B. de C.V.	76.42	$15.84B	1993	Consumer Non-Durables	Beverages (Production/Distribution)	http://www.nasdaq.com/symbol/kof
KO	Coca-Cola Company (The)	43.66	$188.44B	n/a	Consumer Non-Durables	Beverages (Production/Distribution)	http://www.nasdaq.com/symbol/ko
CCE	Coca-Cola European Partners plc	38.97	$8.88B	2016	Consumer Non-Durables	Beverages (Production/Distribution)	http://www.nasdaq.com/symbol/cce
CDE	Coeur Mining, Inc.	13.49	$2.19B	n/a	Basic Industries	Precious Metals	http://www.nasdaq.com/symbol/cde
FOF	Cohen & Steers Closed-End Opportunity Fund, Inc.	12.57	$342.02M	2006	n/a	n/a	http://www.nasdaq.com/symbol/fof
INB	Cohen & Steers Global Income Builder, Inc.	9.23	$213.6M	2007	n/a	n/a	http://www.nasdaq.com/symbol/inb
CNS	Cohen & Steers Inc	42.28	$1.94B	2004	Finance	Investment Managers	http://www.nasdaq.com/symbol/cns
UTF	Cohen & Steers Infrastructure Fund, Inc	21.49	$1.83B	2004	n/a	n/a	http://www.nasdaq.com/symbol/utf
LDP	Cohen & Steers Limited Duration Preferred and Income Fund, Inc	25.73	$741.81M	2012	n/a	n/a	http://www.nasdaq.com/symbol/ldp
MIE	Cohen & Steers MLP Income and Energy Opportunity Fund, Inc.	10.7	$286.69M	2013	n/a	n/a	http://www.nasdaq.com/symbol/mie
